"","Estimate","2.5 %","97.5 %","iteration","predictor"
"(Intercept)",0.00265291101070327,0.00232243231555131,0.00302332213137054,1,"(Intercept)"
"skintone",1.11463187542198,1.0395771558997,1.19415641056807,1,"skintone"
"totalYellows",1.01424051745908,1.01102840609519,1.01748876769598,1,"totalYellows"
"height",1.09028346650419,1.0088946390651,1.17843197731741,1,"height"
"age",1.16474268432351,1.07141281773013,1.26645795696117,1,"age"
"wins.loss",0.798896680918332,0.741728740504684,0.859242568518266,1,"wins.loss"
"goals",1.13836991385627,1.04149766017462,1.24413481883792,1,"goals"
"posD",1.2421429869314,1.09832186074806,1.40482696069367,1,"posD"
"posG",1.57551875136835,1.26166640909163,1.96087543398906,1,"posG"
"posM",0.734976413502458,0.643990497004962,0.838214154834276,1,"posM"
"countryEngland",0.870561217268258,0.772524096221788,0.97936882727318,1,"countryEngland"
"countryFrance",1.21902537724976,1.06523982629738,1.39166695653382,1,"countryFrance"
"countryGermany",0.804983211572611,0.711898003160615,0.908807070440789,1,"countryGermany"
"skintone:countryEngland",1.03064378814039,0.93095118983682,1.14079342284984,1,"skintone:countryEngland"
"skintone:countryFrance",0.863967225028788,0.766004664381071,0.973233351999102,1,"skintone:countryFrance"
"skintone:countryGermany",1.16773863575075,1.03555649251664,1.31399619068312,1,"skintone:countryGermany"
"(Intercept)",0.00268559128530097,0.00235841127177789,0.00305172202820094,2,"(Intercept)"
"skintone",1.1261340554353,1.05066919334785,1.20593817662806,2,"skintone"
"totalYellows",1.01370313166837,1.01056062406728,1.01686892754107,2,"totalYellows"
"height",1.09125994805097,1.01062638134367,1.17863241564229,2,"height"
"age",1.17387419643539,1.08111794618216,1.2748386627552,2,"age"
"wins.loss",0.780991474626926,0.726054132044988,0.838871923428192,2,"wins.loss"
"goals",1.16269637378429,1.07105494442409,1.2614287035805,2,"goals"
"posD",1.22586838951306,1.08605328849219,1.38373048886782,2,"posD"
"posG",1.65141643608539,1.33607818366488,2.03455825910647,2,"posG"
"posM",0.729350977712488,0.639997115643737,0.83047560107853,2,"posM"
"countryEngland",0.906492371589576,0.805593479808337,1.01829301259338,2,"countryEngland"
"countryFrance",1.23466733676472,1.0748104870157,1.41405970154151,2,"countryFrance"
"countryGermany",0.821558139054433,0.728762695152383,0.924724988146282,2,"countryGermany"
"skintone:countryEngland",1.00599350007083,0.909167386959229,1.11284805731729,2,"skintone:countryEngland"
"skintone:countryFrance",0.877279435534507,0.775957335337837,0.990217328250099,2,"skintone:countryFrance"
"skintone:countryGermany",1.13264054372026,1.00645679681764,1.27148548626803,2,"skintone:countryGermany"
"(Intercept)",0.0028394126560338,0.00249111377493148,0.00322957180397302,3,"(Intercept)"
"skintone",1.11346093846797,1.03789711531044,1.19361946697593,3,"skintone"
"totalYellows",1.01390745758899,1.01076901731039,1.01707651660576,3,"totalYellows"
"height",1.04810510402712,0.972234198839264,1.1300487921137,3,"height"
